Series ID,Year,Period,Label,Value
CUUR0000SA0,1925,M02,1925 Feb,17.2
CUUR0000SA0,1925,M03,1925 Mar,17.3
CUUR0000SA0,1925,M04,1925 Apr,17.2
CUUR0000SA0,1925,M05,1925 May,17.3
CUUR0000SA0,1925,M06,1925 Jun,17.5
CUUR0000SA0,1925,M07,1925 Jul,17.7
CUUR0000SA0,1925,M08,1925 Aug,17.7
CUUR0000SA0,1925,M09,1925 Sep,17.7
CUUR0000SA0,1925,M10,1925 Oct,17.7
CUUR0000SA0,1925,M11,1925 Nov,18.0
CUUR0000SA0,1925,M12,1925 Dec,17.9
CUUR0000SA0,1926,M01,1926 Jan,17.9
CUUR0000SA0,1926,M02,1926 Feb,17.9
CUUR0000SA0,1926,M03,1926 Mar,17.8
CUUR0000SA0,1926,M04,1926 Apr,17.9
CUUR0000SA0,1926,M05,1926 May,17.8
CUUR0000SA0,1926,M06,1926 Jun,17.7
CUUR0000SA0,1926,M07,1926 Jul,17.5
CUUR0000SA0,1926,M08,1926 Aug,17.4
CUUR0000SA0,1926,M09,1926 Sep,17.5
CUUR0000SA0,1926,M10,1926 Oct,17.6
CUUR0000SA0,1926,M11,1926 Nov,17.7
CUUR0000SA0,1926,M12,1926 Dec,17.7
CUUR0000SA0,1927,M01,1927 Jan,17.5
CUUR0000SA0,1927,M02,1927 Feb,17.4
CUUR0000SA0,1927,M03,1927 Mar,17.3
CUUR0000SA0,1927,M04,1927 Apr,17.3
CUUR0000SA0,1927,M05,1927 May,17.4
CUUR0000SA0,1927,M06,1927 Jun,17.6
CUUR0000SA0,1927,M07,1927 Jul,17.3
CUUR0000SA0,1927,M08,1927 Aug,17.2
CUUR0000SA0,1927,M09,1927 Sep,17.3
CUUR0000SA0,1927,M10,1927 Oct,17.4
CUUR0000SA0,1927,M11,1927 Nov,17.3
CUUR0000SA0,1927,M12,1927 Dec,17.3
CUUR0000SA0,1928,M01,1928 Jan,17.3
CUUR0000SA0,1928,M02,1928 Feb,17.1
CUUR0000SA0,1928,M03,1928 Mar,17.1
CUUR0000SA0,1928,M04,1928 Apr,17.1
CUUR0000SA0,1928,M05,1928 May,17.2
CUUR0000SA0,1928,M06,1928 Jun,17.1
CUUR0000SA0,1928,M07,1928 Jul,17.1
